Model,F1_Weighted,F1_Macro,Precision,Recall,Accuracy,ROC_AUC
LogisticRegression,0.8398308346880196,0.25068449854155395,0.8476436776084,0.8831047016062844,0.8831047016062844,0.6115376110916763
RandomForest,0.8444723929654336,0.2586469628214382,0.8511874325793182,0.889905029897995,0.889905029897995,0.6607129629483838
XGBoost,0.8475529789934231,0.31250921166971274,0.8343173552968661,0.873138703247743,0.873138703247743,0.668204578872238
LightGBM,0.8450031068044943,0.30825588552737065,0.8303239517397845,0.8690350568648142,0.8690350568648142,0.6608672444420554
KNN,0.81233418778004,0.31070918755750254,0.8240474990548451,0.801618009145269,0.801618009145269,0.5905765251144881
LogisticRegression,0.8223546797468612,0.32578532693638845,0.8302950259246246,0.8183843357955212,0.8183843357955212,0.6475432047227567
RandomForest,0.842256517240403,0.3409835287424932,0.8361422601073524,0.8547309180443193,0.8547309180443193,0.6752496128717413
XGBoost,0.8255228425118256,0.3502196206255408,0.8391323311460962,0.8147496775706413,0.8147496775706413,0.6779406097031572
LightGBM,0.825734280494325,0.35337337941219144,0.8398135855815941,0.81416344237308,0.81416344237308,0.6784184826860233
KNN,0.7513277805757926,0.3121793492773297,0.8306561088464635,0.696095673584242,0.696095673584242,0.6112660793652801
LogisticRegression,0.23182974136971546,0.16867912978155122,0.857845087664165,0.18958846289131198,0.18958846289131198,0.6510172211139623
RandomForest,0.5497294059266128,0.26194662965811244,0.8524946284760898,0.453980536991441,0.453980536991441,0.6704350317800233
XGBoost,0.6017201460237857,0.27628162659711475,0.8487731151034802,0.5075624340485403,0.5075624340485403,0.6744332190917625
LightGBM,0.6233276662573628,0.2842994665685257,0.8479019953608757,0.5321843123461133,0.5321843123461133,0.6731415087743916
KNN,0.631424507729942,0.27188652325632373,0.8356441981478989,0.5380466643217259,0.5380466643217259,0.6128653465525291
